-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       aten::lift_fresh         0.02%      74.839us         0.02%      74.839us       0.317us       0.000us         0.00%       0.000us       0.000us           236  
                                          aten::flatten         0.03%     147.569us         0.12%     565.456us       9.749us       0.000us         0.00%       0.000us       0.000us            58  
                                             aten::view         0.14%     677.727us         0.14%     677.727us       2.896us       0.000us         0.00%       0.000us       0.000us           234  
                                     aten::index_select         0.06%     298.547us         0.06%     298.547us       5.147us       0.000us         0.00%       0.000us       0.000us            58  
                                           aten::detach         0.05%     240.170us         0.05%     240.170us       2.001us       0.000us         0.00%       0.000us       0.000us           120  
                                               aten::to         0.16%     735.470us         4.21%      19.897ms      33.385us       0.000us         0.00%       1.012ms       1.698us           596  
                                     aten::resolve_conj         0.03%     124.863us         0.03%     124.863us       0.529us       0.000us         0.00%       0.000us       0.000us           236  
                                      aten::resolve_neg         0.01%      32.059us         0.01%      32.059us       0.136us       0.000us         0.00%       0.000us       0.000us           236  
                                       cudaLaunchKernel         4.48%      21.150ms         4.48%      21.150ms      12.493us       0.000us         0.00%       0.000us       0.000us          1693  
                                          aten::reshape         0.05%     217.445us         0.08%     382.599us       3.242us       0.000us         0.00%       0.000us       0.000us           118  
                                         aten::_to_copy         0.31%       1.453ms         4.06%      19.162ms      53.825us       0.000us         0.00%       1.012ms       2.843us           356  
                                    aten::empty_strided         0.73%       3.453ms         0.76%       3.586ms       6.791us       0.000us         0.00%       0.000us       0.000us           528  
                                           aten::select         0.10%     476.673us         0.13%     595.923us       2.121us       0.000us         0.00%       0.000us       0.000us           281  
                                               aten::lt         0.08%     368.747us         0.08%     368.747us       6.358us       0.000us         0.00%       0.000us       0.000us            58  
                                           aten::linear         0.06%     288.546us         1.11%       5.262ms      90.729us       0.000us         0.00%      65.341ms       1.127ms            58  
                                                aten::t         0.04%     196.488us         0.08%     356.133us       6.140us       0.000us         0.00%       0.000us       0.000us            58  
                                        aten::transpose         0.02%     111.667us         0.03%     159.645us       2.753us       0.000us         0.00%       0.000us       0.000us            58  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 472.506ms
Self CUDA time total: 503.062ms

