-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cuLaunchKernelEx         0.20%       1.163ms         0.20%       1.163ms      11.867us      29.825us         0.00%      29.825us       0.304us            98  
                                    cudaStreamWaitEvent         0.03%     150.589us         0.03%     150.589us       1.537us      19.007us         0.00%      19.007us       0.194us            98  
                                        cudaGraphLaunch         5.68%      32.670ms         6.11%      35.150ms     228.244us      15.072us         0.00%      15.072us       0.098us           154  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.391us         0.00%      11.391us       3.797us             3  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.262us         0.00%      11.262us       1.877us             6  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.744us         0.00%       3.744us       0.936us             4  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       3.647us         0.00%       3.647us       0.912us             4  
                                         aten::scatter_         0.00%      10.651us         0.00%      19.326us      19.326us       2.016us         0.00%       2.016us       2.016us             1  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us       2.016us         0.00%       2.016us       2.016us             1  
                   execute_context_0(0)_generation_8(8)        14.49%      83.269ms        33.21%     190.902ms       2.053ms       0.000us         0.00%     110.153ms       1.184ms            93  
                                Activity Buffer Request         0.74%       4.266ms         0.84%       4.853ms       1.213ms       0.000us         0.00%       1.264ms     315.998us             4  
                                            aten::slice         1.32%       7.603ms         1.68%       9.670ms       2.077us       0.000us         0.00%       0.000us       0.000us          4655  
                                       aten::as_strided         0.53%       3.066ms         0.53%       3.066ms       0.493us       0.000us         0.00%       0.000us       0.000us          6223  
                                        cudaMemcpyAsync         2.69%      15.487ms         2.69%      15.487ms      13.025us       0.000us         0.00%       0.000us       0.000us          1189  
                                       aten::lift_fresh         0.02%     120.953us         0.02%     120.953us       0.307us       0.000us         0.00%       0.000us       0.000us           394  
                                          aten::flatten         0.04%     234.916us         0.11%     650.993us       6.643us       0.000us         0.00%       0.000us       0.000us            98  
                                             aten::view         0.14%     794.368us         0.14%     794.368us       2.021us       0.000us         0.00%       0.000us       0.000us           393  
                                     aten::index_select         0.10%     579.393us         0.10%     579.393us       5.912us       0.000us         0.00%       0.000us       0.000us            98  
                                           aten::detach         0.06%     347.831us         0.06%     347.831us       1.748us       0.000us         0.00%       0.000us       0.000us           199  
                                               aten::to         0.19%       1.075ms         4.88%      28.057ms      28.341us       0.000us         0.00%       1.689ms       1.707us           990  
                                     aten::resolve_conj         0.03%     178.158us         0.03%     178.158us       0.452us       0.000us         0.00%       0.000us       0.000us           394  
                                      aten::resolve_neg         0.01%      47.588us         0.01%      47.588us       0.121us       0.000us         0.00%       0.000us       0.000us           394  
                                       cudaLaunchKernel         5.45%      31.315ms         5.45%      31.315ms      11.321us       0.000us         0.00%       0.000us       0.000us          2766  
                                          aten::reshape         0.03%     173.580us         0.07%     429.508us       2.180us       0.000us         0.00%       0.000us       0.000us           197  
                                         aten::_to_copy         0.37%       2.145ms         4.69%      26.982ms      45.500us       0.000us         0.00%       1.689ms       2.849us           593  
                                    aten::empty_strided         0.85%       4.911ms         0.89%       5.122ms       6.062us       0.000us         0.00%       0.000us       0.000us           845  
                                           aten::select         0.09%     531.384us         0.12%     688.702us       2.145us       0.000us         0.00%       0.000us       0.000us           321  
                                               aten::lt         0.11%     603.705us         0.11%     603.705us       6.160us       0.000us         0.00%       0.000us       0.000us            98  
                                           aten::linear         0.07%     402.916us         1.45%       8.351ms      85.216us       0.000us         0.00%     112.651ms       1.150ms            98  
                                                aten::t         0.06%     371.508us         0.12%     662.712us       6.762us       0.000us         0.00%       0.000us       0.000us            98  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 574.857ms
Self CUDA time total: 622.777ms

